fulcrum_id,fulcrum_parent_id,fulcrum_record_id,version,caption,latitude,longitude,geometry,file_size,uploaded_at,exif_date_time,exif_gps_altitude,exif_gps_date_stamp,exif_gps_time_stamp,exif_gps_dop,exif_gps_img_direction,exif_gps_img_direction_ref,exif_gps_latitude,exif_gps_latitude_ref,exif_gps_longitude,exif_gps_longitude_ref,exif_make,exif_model,exif_orientation,exif_pixel_x_dimension,exif_pixel_y_dimension,exif_software,exif_x_resolution,exif_y_resolution
421e2dcf-c357-4306-a918-315cf3abe87d,4b6a85f2-8297-4220-bfe9-01442a93ed84,4b6a85f2-8297-4220-bfe9-01442a93ed84,1,,42.05647988888889,-87.67377297222222,POINT (-87.67377297222222 42.05647988888889),555861,2019-09-05 19:40:26 UTC,2019-09-05 10:05:19 UTC,162.7,2019-09-05,15:05:01,,,,42.05647988888889,N,-87.67377297222222,W,samsung,SAMSUNG-SM-G930A,,810,1080,"Fulcrum Android 2.33.4 (4934), Android 8.0.0, samsung, SAMSUNG-SM-G930A",72.0,72.0
662632e0-b864-4e32-8e15-6ca1979d3918,c2281677-758d-419b-a58f-89b9c5bbd79c,c2281677-758d-419b-a58f-89b9c5bbd79c,1,,42.05648358333333,-87.673759,POINT (-87.673759 42.05648358333333),541957,2019-09-05 19:40:31 UTC,2019-09-05 10:12:52 UTC,162.7,2019-09-05,15:12:39,,,,42.05648358333333,N,-87.673759,W,samsung,SAMSUNG-SM-G930A,,810,1080,"Fulcrum Android 2.33.4 (4934), Android 8.0.0, samsung, SAMSUNG-SM-G930A",72.0,72.0
e8d53242-8680-4bdc-b6fc-b05006cb7b9f,4f3dc57e-e357-45a6-897f-4e196a35dd48,4f3dc57e-e357-45a6-897f-4e196a35dd48,1,,42.056483388888886,-87.67375919444444,POINT (-87.67375919444444 42.056483388888886),504661,2019-09-05 19:40:36 UTC,2019-09-05 10:20:12 UTC,162.7,2019-09-05,15:20:04,,,,42.056483388888886,N,-87.67375919444444,W,samsung,SAMSUNG-SM-G930A,,810,1080,"Fulcrum Android 2.33.4 (4934), Android 8.0.0, samsung, SAMSUNG-SM-G930A",72.0,72.0
bc499e03-3a59-4799-8397-20bafb67111f,22305c77-b5b3-4af8-906d-80cb682e0445,22305c77-b5b3-4af8-906d-80cb682e0445,1,,42.056479499999995,-87.67377288888889,POINT (-87.67377288888889 42.056479499999995),547880,2019-09-05 19:40:37 UTC,2019-09-05 10:27:11 UTC,162.7,2019-09-05,15:27:04,,,,42.056479499999995,N,-87.67377288888889,W,samsung,SAMSUNG-SM-G930A,,810,1080,"Fulcrum Android 2.33.4 (4934), Android 8.0.0, samsung, SAMSUNG-SM-G930A",72.0,72.0
f98e99e6-2528-4a2f-b6cf-71345daa24cd,132297a8-f622-4198-a1eb-d5c66747ca9d,132297a8-f622-4198-a1eb-d5c66747ca9d,1,,42.05648347222222,-87.67375919444444,POINT (-87.67375919444444 42.05648347222222),516400,2019-09-05 19:40:40 UTC,2019-09-05 10:32:35 UTC,162.7,2019-09-05,15:32:30,,,,42.05648347222222,N,-87.67375919444444,W,samsung,SAMSUNG-SM-G930A,,810,1080,"Fulcrum Android 2.33.4 (4934), Android 8.0.0, samsung, SAMSUNG-SM-G930A",72.0,72.0
9090c3fb-5664-47d1-8a7f-7c9794605c11,199dd086-4591-42a0-a03c-4873cbb5a604,199dd086-4591-42a0-a03c-4873cbb5a604,1,,42.05648288888889,-87.6737585,POINT (-87.6737585 42.05648288888889),623325,2019-09-05 19:40:43 UTC,2019-09-05 11:11:02 UTC,162.7,2019-09-05,16:10:58,,,,42.05648288888889,N,-87.6737585,W,samsung,SAMSUNG-SM-G930A,,810,1080,"Fulcrum Android 2.33.4 (4934), Android 8.0.0, samsung, SAMSUNG-SM-G930A",72.0,72.0
c0e00066-16c7-45e1-ae15-ad3a3987cadd,2f1c9690-6a74-409f-945c-ed8906db6b21,2f1c9690-6a74-409f-945c-ed8906db6b21,1,,42.056483388888886,-87.67375927777778,POINT (-87.67375927777778 42.056483388888886),522714,2019-09-05 19:40:45 UTC,2019-09-05 11:22:03 UTC,162.7,2019-09-05,16:21:54,,,,42.056483388888886,N,-87.67375927777778,W,samsung,SAMSUNG-SM-G930A,,810,1080,"Fulcrum Android 2.33.4 (4934), Android 8.0.0, samsung, SAMSUNG-SM-G930A",72.0,72.0
51524290-7b19-4dc5-ac6c-9b0fd15fbf59,cbf1bc8c-578d-4a20-a425-75a755d889c0,cbf1bc8c-578d-4a20-a425-75a755d889c0,1,,0.0,0.0,POINT (0.0 0.0),525744,2019-09-05 19:40:48 UTC,2019-09-05 11:32:20 UTC,,2019-09-05,16:32:20,,,,,,,,samsung,SAMSUNG-SM-G930A,,810,1080,"Fulcrum Android 2.33.4 (4934), Android 8.0.0, samsung, SAMSUNG-SM-G930A",72.0,72.0
6fe8b1c6-3e67-483f-8f5a-129176689853,8c6e3761-3b27-45ea-8b37-199d0d27d4b2,8c6e3761-3b27-45ea-8b37-199d0d27d4b2,1,,42.056482777777774,-87.6737583888889,POINT (-87.6737583888889 42.056482777777774),513101,2019-09-05 19:40:50 UTC,2019-09-05 12:23:41 UTC,162.5,2019-09-05,17:23:33,14.177000052946472,,,42.056482777777774,N,-87.6737583888889,W,samsung,SAMSUNG-SM-G930A,,810,1080,"Fulcrum Android 2.33.4 (4934), Android 8.0.0, samsung, SAMSUNG-SM-G930A",72.0,72.0
13bfe07f-bc74-4889-b7e4-51f555ea9b57,6a303ed6-1216-40b6-9b8f-3368cc857919,6a303ed6-1216-40b6-9b8f-3368cc857919,1,,42.05648327777777,-87.673759,POINT (-87.673759 42.05648327777777),523868,2019-09-05 19:40:52 UTC,2019-09-05 12:30:19 UTC,162.7,2019-09-05,17:30:09,12.548999783346574,,,42.05648327777777,N,-87.673759,W,samsung,SAMSUNG-SM-G930A,,810,1080,"Fulcrum Android 2.33.4 (4934), Android 8.0.0, samsung, SAMSUNG-SM-G930A",72.0,72.0
